person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ゼウス,ギリシャ神話,神,FICTIONAL,全知全能の神々の王。雷を操る最高神。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ゼウス,active,3000
アテナ,ギリシャ神話,神,FICTIONAL,知恵と戦争の女神。ゼウスの頭から生まれた。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/アテーナー,active,2500
アポロン,ギリシャ神話,神,FICTIONAL,太陽と音楽の神。予言と芸術の守護神。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/アポローン,active,2500
ヘラクレス,ギリシャ神話,英雄,FICTIONAL,十二の難業を成し遂げた最強の英雄。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ヘーラクレース,active,35
オデュッセウス,ギリシャ神話,英雄,FICTIONAL,トロイア戦争の英雄。十年の冒険の旅。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/オデュッセウス,active,40
ペルセウス,ギリシャ神話,英雄,FICTIONAL,メデューサを退治した英雄。ペガサスに乗る。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ペルセウス,active,25
オーディン,北欧神話,神,FICTIONAL,北欧神話の主神。知恵と戦争の神。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/オーディン,active,4000
ロキ,北欧神話,神,FICTIONAL,悪戯の神。ラグナロクを引き起こす。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ロキ,active,3000
アーサー王,ケルト伝説,王,FICTIONAL,円卓の騎士を率いた伝説の王。エクスカリバーの持ち主。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/アーサー王,active,35
マーリン,ケルト伝説,魔法使い,FICTIONAL,アーサー王の助言者。強力な魔法使い。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/マーリン,active,60
ロビン・フッド,イギリス伝説,義賊,FICTIONAL,シャーウッドの森の義賊。弓の名手。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ロビン・フッド,active,30
ベオウルフ,北欧伝説,英雄,FICTIONAL,怪物グレンデルを倒した英雄。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ベーオウルフ,active,40
ジークフリート,ゲルマン伝説,英雄,FICTIONAL,竜を倒した無敵の英雄。ニーベルングの指輪。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ジークフリート,active,25
孫悟空,中国神話,神仙,FICTIONAL,如意棒を持つ斉天大聖。西遊記の主人公。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/孫悟空,active,500
三蔵法師,中国伝説,僧侶,FICTIONAL,天竺を目指す高僧。孫悟空の師匠。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/玄奘三蔵,active,35
猪八戒,中国神話,神仙,FICTIONAL,天蓬元帥。食いしん坊の豚の妖怪。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/猪八戒,active,400
沙悟浄,中国神話,神仙,FICTIONAL,捲簾大将。河童のような妖怪。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/沙悟浄,active,300
ムーラン,中国伝説,戦士,FICTIONAL,父の代わりに男装して従軍した女性戦士。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/花木蘭,active,18
関羽,中国伝説,武将,FICTIONAL,三国志の義将。後に神格化された。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/関羽,active,45
諸葛亮,中国伝説,軍師,FICTIONAL,天才軍師。臥龍と呼ばれた。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/諸葛亮,active,50
